type, 1111, 2222, 3333, 4444, avg, squ
rnn, 103.07, 102.76, 101.93, 102.75, 102.63, 0.18
0.1, 101.32, 101.24, 100.74, 100.95, 101.06, 0.05
0.2, 101.23, 101.05, 101.9, 100.71, 101.22, 0.19
0.3, 101.82, 102.07, 101.52, 101.62, 101.76, 0.04
0.4, 102.24, 102.25, 102.19, 102.16, 102.21, 0.0
0.50, 103.1, 102.97, 102.84, 102.85, 102.94, 0.01
0.6, 103.34, 103.53, 104.03, 103.72, 103.66, 0.06
0.7, 105.72, 106.18, 105.9, 105.14, 105.73, 0.14
0.8, 106.07, 108.07, 106.99, 107.31, 107.11, 0.51
0.9, 110.54, 110.13, 109.0, 110.73, 110.1, 0.45
snn, 122.73, 122.73, 123.41, 123.49, 123.09, 0.13

